Scenario,TID,TestCase Description,PreCondition,TestSteps,Expected Result,Actual Result,Steps to Execute,Expected Result,Actual Result,Status,Executed,QA Name,Misc (Comments),Priority,Is Automated
Positive,TC_VALID_LOGIN_015,Verify login with valid credentials using Mobile Safari (iOS),"User has an active, registered Shopify account on shopify.com",1. Open Mobile Safari (iOS) and go to shopify.com/login | 2. Enter valid credentials | 3. Submit form,Login succeeds without errors on Mobile Safari (iOS),,1. Open Mobile Safari (iOS) and go to shopify.com/login | 2. Enter valid credentials | 3. Submit form,Login succeeds without errors on Mobile Safari (iOS),,Not Executed,No,,,High,No
Positive,TC_VALID_LOGIN_016,Verify login with valid credentials using Chrome (Android),"User has an active, registered Shopify account on shopify.com",1. Open Chrome (Android) and go to shopify.com/login | 2. Enter valid credentials | 3. Submit form,Login succeeds without errors on Chrome (Android),,1. Open Chrome (Android) and go to shopify.com/login | 2. Enter valid credentials | 3. Submit form,Login succeeds without errors on Chrome (Android),,Not Executed,No,,,High,No
Positive,TC_VALID_LOGIN_017,Verify login with valid credentials using Chrome,"User has an active, registered Shopify account on shopify.com",1. Open Chrome and go to shopify.com/login | 2. Enter valid credentials | 3. Submit form,Login succeeds without errors on Chrome,,1. Open Chrome and go to shopify.com/login | 2. Enter valid credentials | 3. Submit form,Login succeeds without errors on Chrome,,Not Executed,No,,,High,Yes
Positive,TC_VALID_LOGIN_018,Verify login with valid credentials using Firefox,"User has an active, registered Shopify account on shopify.com",1. Open Firefox and go to shopify.com/login | 2. Enter valid credentials | 3. Submit form,Login succeeds without errors on Firefox,,1. Open Firefox and go to shopify.com/login | 2. Enter valid credentials | 3. Submit form,Login succeeds without errors on Firefox,,Not Executed,No,,,High,No
Positive,TC_VALID_LOGIN_019,Verify login with valid credentials using Safari,"User has an active, registered Shopify account on shopify.com",1. Open Safari and go to shopify.com/login | 2. Enter valid credentials | 3. Submit form,Login succeeds without errors on Safari,,1. Open Safari and go to shopify.com/login | 2. Enter valid credentials | 3. Submit form,Login succeeds without errors on Safari,,Not Executed,No,,,High,No
Positive,TC_VALID_LOGIN_020,Verify login with valid credentials using Edge,"User has an active, registered Shopify account on shopify.com",1. Open Edge and go to shopify.com/login | 2. Enter valid credentials | 3. Submit form,Login succeeds without errors on Edge,,1. Open Edge and go to shopify.com/login | 2. Enter valid credentials | 3. Submit form,Login succeeds without errors on Edge,,Not Executed,No,,,High,Yes
Positive,TC_VALID_LOGIN_021,Verify login with valid credentials on Desktop,"User has an active, registered Shopify account on shopify.com",1. Open Desktop browser to shopify.com/login | 2. Enter valid credentials | 3. Submit,Login succeeds and dashboard loads correctly on Desktop,,1. Open Desktop browser to shopify.com/login | 2. Enter valid credentials | 3. Submit,Login succeeds and dashboard loads correctly on Desktop,,Not Executed,No,,,High,Yes
Positive,TC_VALID_LOGIN_022,Verify login with valid credentials on Laptop,"User has an active, registered Shopify account on shopify.com",1. Open Laptop browser to shopify.com/login | 2. Enter valid credentials | 3. Submit,Login succeeds and dashboard loads correctly on Laptop,,1. Open Laptop browser to shopify.com/login | 2. Enter valid credentials | 3. Submit,Login succeeds and dashboard loads correctly on Laptop,,Not Executed,No,,,High,No
Positive,TC_VALID_LOGIN_023,Verify login with valid credentials on Mobile (iOS),"User has an active, registered Shopify account on shopify.com",1. Open Mobile (iOS) browser to shopify.com/login | 2. Enter valid credentials | 3. Submit,Login succeeds and dashboard loads correctly on Mobile (iOS),,1. Open Mobile (iOS) browser to shopify.com/login | 2. Enter valid credentials | 3. Submit,Login succeeds and dashboard loads correctly on Mobile (iOS),,Not Executed,No,,,High,No
Positive,TC_VALID_LOGIN_024,Verify login with valid credentials on Mobile (Android),"User has an active, registered Shopify account on shopify.com",1. Open Mobile (Android) browser to shopify.com/login | 2. Enter valid credentials | 3. Submit,Login succeeds and dashboard loads correctly on Mobile (Android),,1. Open Mobile (Android) browser to shopify.com/login | 2. Enter valid credentials | 3. Submit,Login succeeds and dashboard loads correctly on Mobile (Android),,Not Executed,No,,,High,Yes
Positive,TC_VALID_LOGIN_025,Verify login with valid credentials on Tablet,"User has an active, registered Shopify account on shopify.com",1. Open Tablet browser to shopify.com/login | 2. Enter valid credentials | 3. Submit,Login succeeds and dashboard loads correctly on Tablet,,1. Open Tablet browser to shopify.com/login | 2. Enter valid credentials | 3. Submit,Login succeeds and dashboard loads correctly on Tablet,,Not Executed,No,,,High,No
Positive,TC_VALID_LOGIN_026,Verify login with valid credentials on Desktop,"User has an active, registered Shopify account on shopify.com",1. Open Desktop browser to shopify.com/login | 2. Enter valid credentials | 3. Submit,Login succeeds and dashboard loads correctly on Desktop,,1. Open Desktop browser to shopify.com/login | 2. Enter valid credentials | 3. Submit,Login succeeds and dashboard loads correctly on Desktop,,Not Executed,No,,,High,No
Positive,TC_VALID_LOGIN_027,Verify login with valid credentials on Laptop,"User has an active, registered Shopify account on shopify.com",1. Open Laptop browser to shopify.com/login | 2. Enter valid credentials | 3. Submit,Login succeeds and dashboard loads correctly on Laptop,,1. Open Laptop browser to shopify.com/login | 2. Enter valid credentials | 3. Submit,Login succeeds and dashboard loads correctly on Laptop,,Not Executed,No,,,High,Yes
Positive,TC_VALID_LOGIN_028,Verify login with valid credentials on Mobile (iOS),"User has an active, registered Shopify account on shopify.com",1. Open Mobile (iOS) browser to shopify.com/login | 2. Enter valid credentials | 3. Submit,Login succeeds and dashboard loads correctly on Mobile (iOS),,1. Open Mobile (iOS) browser to shopify.com/login | 2. Enter valid credentials | 3. Submit,Login succeeds and dashboard loads correctly on Mobile (iOS),,Not Executed,No,,,High,No
Positive,TC_VALID_LOGIN_029,Verify login with valid credentials on Mobile (Android),"User has an active, registered Shopify account on shopify.com",1. Open Mobile (Android) browser to shopify.com/login | 2. Enter valid credentials | 3. Submit,Login succeeds and dashboard loads correctly on Mobile (Android),,1. Open Mobile (Android) browser to shopify.com/login | 2. Enter valid credentials | 3. Submit,Login succeeds and dashboard loads correctly on Mobile (Android),,Not Executed,No,,,High,No
Positive,TC_VALID_LOGIN_030,Verify login with valid credentials on Tablet,"User has an active, registered Shopify account on shopify.com",1. Open Tablet browser to shopify.com/login | 2. Enter valid credentials | 3. Submit,Login succeeds and dashboard loads correctly on Tablet,,1. Open Tablet browser to shopify.com/login | 2. Enter valid credentials | 3. Submit,Login succeeds and dashboard loads correctly on Tablet,,Not Executed,No,,,High,Yes
Positive,TC_VALID_LOGIN_031,Verify valid login redirects to last visited page [Data set 1],"User has an active, registered Shopify account on shopify.com",1. Attempt to access a protected page while logged out | 2. Log in with valid credentials,User is redirected back to the originally requested page,,1. Attempt to access a protected page while logged out | 2. Log in with valid credentials,User is redirected back to the originally requested page,,Not Executed,No,,,Medium,Yes
Positive,TC_VALID_LOGIN_032,Verify valid login redirects to last visited page [Data set 2],"User has an active, registered Shopify account on shopify.com",1. Attempt to access a protected page while logged out | 2. Log in with valid credentials,User is redirected back to the originally requested page,,1. Attempt to access a protected page while logged out | 2. Log in with valid credentials,User is redirected back to the originally requested page,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_033,Verify valid login redirects to last visited page [Data set 3],"User has an active, registered Shopify account on shopify.com",1. Attempt to access a protected page while logged out | 2. Log in with valid credentials,User is redirected back to the originally requested page,,1. Attempt to access a protected page while logged out | 2. Log in with valid credentials,User is redirected back to the originally requested page,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_034,Verify valid login redirects to last visited page [Data set 4],"User has an active, registered Shopify account on shopify.com",1. Attempt to access a protected page while logged out | 2. Log in with valid credentials,User is redirected back to the originally requested page,,1. Attempt to access a protected page while logged out | 2. Log in with valid credentials,User is redirected back to the originally requested page,,Not Executed,No,,,Medium,Yes
Positive,TC_VALID_LOGIN_035,Verify valid login redirects to last visited page [Data set 5],"User has an active, registered Shopify account on shopify.com",1. Attempt to access a protected page while logged out | 2. Log in with valid credentials,User is redirected back to the originally requested page,,1. Attempt to access a protected page while logged out | 2. Log in with valid credentials,User is redirected back to the originally requested page,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_036,Verify valid login redirects to last visited page [Data set 6],"User has an active, registered Shopify account on shopify.com",1. Attempt to access a protected page while logged out | 2. Log in with valid credentials,User is redirected back to the originally requested page,,1. Attempt to access a protected page while logged out | 2. Log in with valid credentials,User is redirected back to the originally requested page,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_037,Verify valid login redirects to last visited page [Data set 7],"User has an active, registered Shopify account on shopify.com",1. Attempt to access a protected page while logged out | 2. Log in with valid credentials,User is redirected back to the originally requested page,,1. Attempt to access a protected page while logged out | 2. Log in with valid credentials,User is redirected back to the originally requested page,,Not Executed,No,,,Medium,Yes
Positive,TC_VALID_LOGIN_038,Verify valid login redirects to last visited page [Data set 8],"User has an active, registered Shopify account on shopify.com",1. Attempt to access a protected page while logged out | 2. Log in with valid credentials,User is redirected back to the originally requested page,,1. Attempt to access a protected page while logged out | 2. Log in with valid credentials,User is redirected back to the originally requested page,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_039,Verify valid login redirects to last visited page [Data set 9],"User has an active, registered Shopify account on shopify.com",1. Attempt to access a protected page while logged out | 2. Log in with valid credentials,User is redirected back to the originally requested page,,1. Attempt to access a protected page while logged out | 2. Log in with valid credentials,User is redirected back to the originally requested page,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_040,Verify valid login redirects to last visited page [Data set 10],"User has an active, registered Shopify account on shopify.com",1. Attempt to access a protected page while logged out | 2. Log in with valid credentials,User is redirected back to the originally requested page,,1. Attempt to access a protected page while logged out | 2. Log in with valid credentials,User is redirected back to the originally requested page,,Not Executed,No,,,Medium,Yes
Positive,TC_VALID_LOGIN_041,Verify valid login with email containing uppercase letters [Data set 1],"User has an active, registered Shopify account on shopify.com",1. Enter email in mixed case (e.g. User@Example.com) | 2. Enter correct password | 3. Click Log in,Login succeeds; email is treated case-insensitively,,1. Enter email in mixed case (e.g. User@Example.com) | 2. Enter correct password | 3. Click Log in,Login succeeds; email is treated case-insensitively,,Not Executed,No,,,Medium,Yes
Positive,TC_VALID_LOGIN_042,Verify valid login with email containing uppercase letters [Data set 2],"User has an active, registered Shopify account on shopify.com",1. Enter email in mixed case (e.g. User@Example.com) | 2. Enter correct password | 3. Click Log in,Login succeeds; email is treated case-insensitively,,1. Enter email in mixed case (e.g. User@Example.com) | 2. Enter correct password | 3. Click Log in,Login succeeds; email is treated case-insensitively,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_043,Verify valid login with email containing uppercase letters [Data set 3],"User has an active, registered Shopify account on shopify.com",1. Enter email in mixed case (e.g. User@Example.com) | 2. Enter correct password | 3. Click Log in,Login succeeds; email is treated case-insensitively,,1. Enter email in mixed case (e.g. User@Example.com) | 2. Enter correct password | 3. Click Log in,Login succeeds; email is treated case-insensitively,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_044,Verify valid login with email containing uppercase letters [Data set 4],"User has an active, registered Shopify account on shopify.com",1. Enter email in mixed case (e.g. User@Example.com) | 2. Enter correct password | 3. Click Log in,Login succeeds; email is treated case-insensitively,,1. Enter email in mixed case (e.g. User@Example.com) | 2. Enter correct password | 3. Click Log in,Login succeeds; email is treated case-insensitively,,Not Executed,No,,,Medium,Yes
Positive,TC_VALID_LOGIN_045,Verify valid login with email containing uppercase letters [Data set 5],"User has an active, registered Shopify account on shopify.com",1. Enter email in mixed case (e.g. User@Example.com) | 2. Enter correct password | 3. Click Log in,Login succeeds; email is treated case-insensitively,,1. Enter email in mixed case (e.g. User@Example.com) | 2. Enter correct password | 3. Click Log in,Login succeeds; email is treated case-insensitively,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_046,Verify valid login with email containing uppercase letters [Data set 6],"User has an active, registered Shopify account on shopify.com",1. Enter email in mixed case (e.g. User@Example.com) | 2. Enter correct password | 3. Click Log in,Login succeeds; email is treated case-insensitively,,1. Enter email in mixed case (e.g. User@Example.com) | 2. Enter correct password | 3. Click Log in,Login succeeds; email is treated case-insensitively,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_047,Verify valid login with email containing uppercase letters [Data set 7],"User has an active, registered Shopify account on shopify.com",1. Enter email in mixed case (e.g. User@Example.com) | 2. Enter correct password | 3. Click Log in,Login succeeds; email is treated case-insensitively,,1. Enter email in mixed case (e.g. User@Example.com) | 2. Enter correct password | 3. Click Log in,Login succeeds; email is treated case-insensitively,,Not Executed,No,,,Medium,Yes
Positive,TC_VALID_LOGIN_048,Verify valid login with email containing uppercase letters [Data set 8],"User has an active, registered Shopify account on shopify.com",1. Enter email in mixed case (e.g. User@Example.com) | 2. Enter correct password | 3. Click Log in,Login succeeds; email is treated case-insensitively,,1. Enter email in mixed case (e.g. User@Example.com) | 2. Enter correct password | 3. Click Log in,Login succeeds; email is treated case-insensitively,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_049,Verify valid login with email containing uppercase letters [Data set 9],"User has an active, registered Shopify account on shopify.com",1. Enter email in mixed case (e.g. User@Example.com) | 2. Enter correct password | 3. Click Log in,Login succeeds; email is treated case-insensitively,,1. Enter email in mixed case (e.g. User@Example.com) | 2. Enter correct password | 3. Click Log in,Login succeeds; email is treated case-insensitively,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_050,Verify valid login with email containing uppercase letters [Data set 10],"User has an active, registered Shopify account on shopify.com",1. Enter email in mixed case (e.g. User@Example.com) | 2. Enter correct password | 3. Click Log in,Login succeeds; email is treated case-insensitively,,1. Enter email in mixed case (e.g. User@Example.com) | 2. Enter correct password | 3. Click Log in,Login succeeds; email is treated case-insensitively,,Not Executed,No,,,Medium,Yes
Positive,TC_VALID_LOGIN_051,Verify valid login using saved/autofilled credentials [Data set 1],"User has an active, registered Shopify account on shopify.com",1. Trigger browser autofill on login form | 2. Submit autofilled credentials,Login succeeds using autofilled valid credentials,,1. Trigger browser autofill on login form | 2. Submit autofilled credentials,Login succeeds using autofilled valid credentials,,Not Executed,No,,,Low,Yes
Positive,TC_VALID_LOGIN_052,Verify valid login using saved/autofilled credentials [Data set 2],"User has an active, registered Shopify account on shopify.com",1. Trigger browser autofill on login form | 2. Submit autofilled credentials,Login succeeds using autofilled valid credentials,,1. Trigger browser autofill on login form | 2. Submit autofilled credentials,Login succeeds using autofilled valid credentials,,Not Executed,No,,,Low,No
Positive,TC_VALID_LOGIN_053,Verify valid login using saved/autofilled credentials [Data set 3],"User has an active, registered Shopify account on shopify.com",1. Trigger browser autofill on login form | 2. Submit autofilled credentials,Login succeeds using autofilled valid credentials,,1. Trigger browser autofill on login form | 2. Submit autofilled credentials,Login succeeds using autofilled valid credentials,,Not Executed,No,,,Low,No
Positive,TC_VALID_LOGIN_054,Verify valid login using saved/autofilled credentials [Data set 4],"User has an active, registered Shopify account on shopify.com",1. Trigger browser autofill on login form | 2. Submit autofilled credentials,Login succeeds using autofilled valid credentials,,1. Trigger browser autofill on login form | 2. Submit autofilled credentials,Login succeeds using autofilled valid credentials,,Not Executed,No,,,Low,Yes
Positive,TC_VALID_LOGIN_055,Verify valid login using saved/autofilled credentials [Data set 5],"User has an active, registered Shopify account on shopify.com",1. Trigger browser autofill on login form | 2. Submit autofilled credentials,Login succeeds using autofilled valid credentials,,1. Trigger browser autofill on login form | 2. Submit autofilled credentials,Login succeeds using autofilled valid credentials,,Not Executed,No,,,Low,No
Positive,TC_VALID_LOGIN_056,Verify valid login using saved/autofilled credentials [Data set 6],"User has an active, registered Shopify account on shopify.com",1. Trigger browser autofill on login form | 2. Submit autofilled credentials,Login succeeds using autofilled valid credentials,,1. Trigger browser autofill on login form | 2. Submit autofilled credentials,Login succeeds using autofilled valid credentials,,Not Executed,No,,,Low,No
Positive,TC_VALID_LOGIN_057,Verify valid login using saved/autofilled credentials [Data set 7],"User has an active, registered Shopify account on shopify.com",1. Trigger browser autofill on login form | 2. Submit autofilled credentials,Login succeeds using autofilled valid credentials,,1. Trigger browser autofill on login form | 2. Submit autofilled credentials,Login succeeds using autofilled valid credentials,,Not Executed,No,,,Low,Yes
Positive,TC_VALID_LOGIN_058,Verify valid login using saved/autofilled credentials [Data set 8],"User has an active, registered Shopify account on shopify.com",1. Trigger browser autofill on login form | 2. Submit autofilled credentials,Login succeeds using autofilled valid credentials,,1. Trigger browser autofill on login form | 2. Submit autofilled credentials,Login succeeds using autofilled valid credentials,,Not Executed,No,,,Low,No
Positive,TC_VALID_LOGIN_059,Verify valid login using saved/autofilled credentials [Data set 9],"User has an active, registered Shopify account on shopify.com",1. Trigger browser autofill on login form | 2. Submit autofilled credentials,Login succeeds using autofilled valid credentials,,1. Trigger browser autofill on login form | 2. Submit autofilled credentials,Login succeeds using autofilled valid credentials,,Not Executed,No,,,Low,No
Positive,TC_VALID_LOGIN_060,Verify valid login using saved/autofilled credentials [Data set 10],"User has an active, registered Shopify account on shopify.com",1. Trigger browser autofill on login form | 2. Submit autofilled credentials,Login succeeds using autofilled valid credentials,,1. Trigger browser autofill on login form | 2. Submit autofilled credentials,Login succeeds using autofilled valid credentials,,Not Executed,No,,,Low,Yes
Positive,TC_VALID_LOGIN_061,Verify session token/cookie is created after valid login [Data set 1],"User has an active, registered Shopify account on shopify.com",1. Log in with valid credentials | 2. Inspect browser cookies/local storage,"A valid, secure session token/cookie is created",,1. Log in with valid credentials | 2. Inspect browser cookies/local storage,"A valid, secure session token/cookie is created",,Not Executed,No,,,High,Yes
Positive,TC_VALID_LOGIN_062,Verify session token/cookie is created after valid login [Data set 2],"User has an active, registered Shopify account on shopify.com",1. Log in with valid credentials | 2. Inspect browser cookies/local storage,"A valid, secure session token/cookie is created",,1. Log in with valid credentials | 2. Inspect browser cookies/local storage,"A valid, secure session token/cookie is created",,Not Executed,No,,,High,No
Positive,TC_VALID_LOGIN_063,Verify session token/cookie is created after valid login [Data set 3],"User has an active, registered Shopify account on shopify.com",1. Log in with valid credentials | 2. Inspect browser cookies/local storage,"A valid, secure session token/cookie is created",,1. Log in with valid credentials | 2. Inspect browser cookies/local storage,"A valid, secure session token/cookie is created",,Not Executed,No,,,High,No
Positive,TC_VALID_LOGIN_064,Verify session token/cookie is created after valid login [Data set 4],"User has an active, registered Shopify account on shopify.com",1. Log in with valid credentials | 2. Inspect browser cookies/local storage,"A valid, secure session token/cookie is created",,1. Log in with valid credentials | 2. Inspect browser cookies/local storage,"A valid, secure session token/cookie is created",,Not Executed,No,,,High,Yes
Positive,TC_VALID_LOGIN_065,Verify session token/cookie is created after valid login [Data set 5],"User has an active, registered Shopify account on shopify.com",1. Log in with valid credentials | 2. Inspect browser cookies/local storage,"A valid, secure session token/cookie is created",,1. Log in with valid credentials | 2. Inspect browser cookies/local storage,"A valid, secure session token/cookie is created",,Not Executed,No,,,High,No
Positive,TC_VALID_LOGIN_066,Verify session token/cookie is created after valid login [Data set 6],"User has an active, registered Shopify account on shopify.com",1. Log in with valid credentials | 2. Inspect browser cookies/local storage,"A valid, secure session token/cookie is created",,1. Log in with valid credentials | 2. Inspect browser cookies/local storage,"A valid, secure session token/cookie is created",,Not Executed,No,,,High,No
Positive,TC_VALID_LOGIN_067,Verify session token/cookie is created after valid login [Data set 7],"User has an active, registered Shopify account on shopify.com",1. Log in with valid credentials | 2. Inspect browser cookies/local storage,"A valid, secure session token/cookie is created",,1. Log in with valid credentials | 2. Inspect browser cookies/local storage,"A valid, secure session token/cookie is created",,Not Executed,No,,,High,Yes
Positive,TC_VALID_LOGIN_068,Verify session token/cookie is created after valid login [Data set 8],"User has an active, registered Shopify account on shopify.com",1. Log in with valid credentials | 2. Inspect browser cookies/local storage,"A valid, secure session token/cookie is created",,1. Log in with valid credentials | 2. Inspect browser cookies/local storage,"A valid, secure session token/cookie is created",,Not Executed,No,,,High,No
Positive,TC_VALID_LOGIN_069,Verify session token/cookie is created after valid login [Data set 9],"User has an active, registered Shopify account on shopify.com",1. Log in with valid credentials | 2. Inspect browser cookies/local storage,"A valid, secure session token/cookie is created",,1. Log in with valid credentials | 2. Inspect browser cookies/local storage,"A valid, secure session token/cookie is created",,Not Executed,No,,,High,No
Positive,TC_VALID_LOGIN_070,Verify session token/cookie is created after valid login [Data set 10],"User has an active, registered Shopify account on shopify.com",1. Log in with valid credentials | 2. Inspect browser cookies/local storage,"A valid, secure session token/cookie is created",,1. Log in with valid credentials | 2. Inspect browser cookies/local storage,"A valid, secure session token/cookie is created",,Not Executed,No,,,High,Yes
Positive,TC_VALID_LOGIN_071,Verify valid login does not display any error banners [Data set 1],"User has an active, registered Shopify account on shopify.com",1. Enter valid credentials | 2. Click Log in | 3. Observe page,No error messages or banners are displayed,,1. Enter valid credentials | 2. Click Log in | 3. Observe page,No error messages or banners are displayed,,Not Executed,No,,,Medium,Yes
Positive,TC_VALID_LOGIN_072,Verify valid login does not display any error banners [Data set 2],"User has an active, registered Shopify account on shopify.com",1. Enter valid credentials | 2. Click Log in | 3. Observe page,No error messages or banners are displayed,,1. Enter valid credentials | 2. Click Log in | 3. Observe page,No error messages or banners are displayed,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_073,Verify valid login does not display any error banners [Data set 3],"User has an active, registered Shopify account on shopify.com",1. Enter valid credentials | 2. Click Log in | 3. Observe page,No error messages or banners are displayed,,1. Enter valid credentials | 2. Click Log in | 3. Observe page,No error messages or banners are displayed,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_074,Verify valid login does not display any error banners [Data set 4],"User has an active, registered Shopify account on shopify.com",1. Enter valid credentials | 2. Click Log in | 3. Observe page,No error messages or banners are displayed,,1. Enter valid credentials | 2. Click Log in | 3. Observe page,No error messages or banners are displayed,,Not Executed,No,,,Medium,Yes
Positive,TC_VALID_LOGIN_075,Verify valid login does not display any error banners [Data set 5],"User has an active, registered Shopify account on shopify.com",1. Enter valid credentials | 2. Click Log in | 3. Observe page,No error messages or banners are displayed,,1. Enter valid credentials | 2. Click Log in | 3. Observe page,No error messages or banners are displayed,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_076,Verify valid login does not display any error banners [Data set 6],"User has an active, registered Shopify account on shopify.com",1. Enter valid credentials | 2. Click Log in | 3. Observe page,No error messages or banners are displayed,,1. Enter valid credentials | 2. Click Log in | 3. Observe page,No error messages or banners are displayed,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_077,Verify valid login does not display any error banners [Data set 7],"User has an active, registered Shopify account on shopify.com",1. Enter valid credentials | 2. Click Log in | 3. Observe page,No error messages or banners are displayed,,1. Enter valid credentials | 2. Click Log in | 3. Observe page,No error messages or banners are displayed,,Not Executed,No,,,Medium,Yes
Positive,TC_VALID_LOGIN_078,Verify valid login does not display any error banners [Data set 8],"User has an active, registered Shopify account on shopify.com",1. Enter valid credentials | 2. Click Log in | 3. Observe page,No error messages or banners are displayed,,1. Enter valid credentials | 2. Click Log in | 3. Observe page,No error messages or banners are displayed,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_079,Verify valid login does not display any error banners [Data set 9],"User has an active, registered Shopify account on shopify.com",1. Enter valid credentials | 2. Click Log in | 3. Observe page,No error messages or banners are displayed,,1. Enter valid credentials | 2. Click Log in | 3. Observe page,No error messages or banners are displayed,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_080,Verify valid login does not display any error banners [Data set 10],"User has an active, registered Shopify account on shopify.com",1. Enter valid credentials | 2. Click Log in | 3. Observe page,No error messages or banners are displayed,,1. Enter valid credentials | 2. Click Log in | 3. Observe page,No error messages or banners are displayed,,Not Executed,No,,,Medium,Yes
Positive,TC_VALID_LOGIN_081,Verify multiple consecutive valid logins from same account [Data set 1],"User has an active, registered Shopify account on shopify.com","1. Log in, log out | 2. Log in again with same valid credentials",Each login attempt succeeds consistently,,"1. Log in, log out | 2. Log in again with same valid credentials",Each login attempt succeeds consistently,,Not Executed,No,,,Medium,Yes
Positive,TC_VALID_LOGIN_082,Verify multiple consecutive valid logins from same account [Data set 2],"User has an active, registered Shopify account on shopify.com","1. Log in, log out | 2. Log in again with same valid credentials",Each login attempt succeeds consistently,,"1. Log in, log out | 2. Log in again with same valid credentials",Each login attempt succeeds consistently,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_083,Verify multiple consecutive valid logins from same account [Data set 3],"User has an active, registered Shopify account on shopify.com","1. Log in, log out | 2. Log in again with same valid credentials",Each login attempt succeeds consistently,,"1. Log in, log out | 2. Log in again with same valid credentials",Each login attempt succeeds consistently,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_084,Verify multiple consecutive valid logins from same account [Data set 4],"User has an active, registered Shopify account on shopify.com","1. Log in, log out | 2. Log in again with same valid credentials",Each login attempt succeeds consistently,,"1. Log in, log out | 2. Log in again with same valid credentials",Each login attempt succeeds consistently,,Not Executed,No,,,Medium,Yes
Positive,TC_VALID_LOGIN_085,Verify multiple consecutive valid logins from same account [Data set 5],"User has an active, registered Shopify account on shopify.com","1. Log in, log out | 2. Log in again with same valid credentials",Each login attempt succeeds consistently,,"1. Log in, log out | 2. Log in again with same valid credentials",Each login attempt succeeds consistently,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_086,Verify multiple consecutive valid logins from same account [Data set 6],"User has an active, registered Shopify account on shopify.com","1. Log in, log out | 2. Log in again with same valid credentials",Each login attempt succeeds consistently,,"1. Log in, log out | 2. Log in again with same valid credentials",Each login attempt succeeds consistently,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_087,Verify multiple consecutive valid logins from same account [Data set 7],"User has an active, registered Shopify account on shopify.com","1. Log in, log out | 2. Log in again with same valid credentials",Each login attempt succeeds consistently,,"1. Log in, log out | 2. Log in again with same valid credentials",Each login attempt succeeds consistently,,Not Executed,No,,,Medium,Yes
Positive,TC_VALID_LOGIN_088,Verify multiple consecutive valid logins from same account [Data set 8],"User has an active, registered Shopify account on shopify.com","1. Log in, log out | 2. Log in again with same valid credentials",Each login attempt succeeds consistently,,"1. Log in, log out | 2. Log in again with same valid credentials",Each login attempt succeeds consistently,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_089,Verify multiple consecutive valid logins from same account [Data set 9],"User has an active, registered Shopify account on shopify.com","1. Log in, log out | 2. Log in again with same valid credentials",Each login attempt succeeds consistently,,"1. Log in, log out | 2. Log in again with same valid credentials",Each login attempt succeeds consistently,,Not Executed,No,,,Medium,No
Positive,TC_VALID_LOGIN_090,Verify multiple consecutive valid logins from same account [Data set 10],"User has an active, registered Shopify account on shopify.com","1. Log in, log out | 2. Log in again with same valid credentials",Each login attempt succeeds consistently,,"1. Log in, log out | 2. Log in again with same valid credentials",Each login attempt succeeds consistently,,Not Executed,No,,,Medium,Yes
Positive,TC_VALID_LOGIN_091,Verify valid login triggers 'Welcome back' notification [Data set 1],"User has an active, registered Shopify account on shopify.com",1. Log in with valid credentials | 2. Observe dashboard header/notification area,A welcome/greeting message is displayed with the account name,,1. Log in with valid credentials | 2. Observe dashboard header/notification area,A welcome/greeting message is displayed with the account name,,Not Executed,No,,,Low,Yes
Positive,TC_VALID_LOGIN_092,Verify valid login triggers 'Welcome back' notification [Data set 2],"User has an active, registered Shopify account on shopify.com",1. Log in with valid credentials | 2. Observe dashboard header/notification area,A welcome/greeting message is displayed with the account name,,1. Log in with valid credentials | 2. Observe dashboard header/notification area,A welcome/greeting message is displayed with the account name,,Not Executed,No,,,Low,No
Positive,TC_VALID_LOGIN_093,Verify valid login triggers 'Welcome back' notification [Data set 3],"User has an active, registered Shopify account on shopify.com",1. Log in with valid credentials | 2. Observe dashboard header/notification area,A welcome/greeting message is displayed with the account name,,1. Log in with valid credentials | 2. Observe dashboard header/notification area,A welcome/greeting message is displayed with the account name,,Not Executed,No,,,Low,No
